dataFrameType,classifier,variant,variantIndex,Accuracy,Precision,Recall,F1,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,C,solver,max_iter
all_possible_columns,extra_trees,baseline,1,0.884,0.867,0.814,0.84,400.0,,2.0,1.0,sqrt,balanced,,,
all_possible_columns,extra_trees,regularized,2,0.822,0.748,0.787,0.767,300.0,12.0,10.0,2.0,sqrt,balanced,,,
all_possible_columns,extra_trees,wider,3,0.835,0.759,0.816,0.787,700.0,20.0,5.0,1.0,log2,balanced_subsample,,,
all_possible_columns,logistic_regression,baseline,1,0.372,0.372,1.0,0.542,,,,,,balanced,1.0,liblinear,2000.0
all_possible_columns,logistic_regression,strong_regularization,2,0.372,0.372,1.0,0.542,,,,,,balanced,0.1,liblinear,3000.0
all_possible_columns,logistic_regression,lighter_regularization,3,0.628,0.0,0.0,0.0,,,,,,,3.0,lbfgs,4000.0
all_possible_columns,random_forest,baseline,1,0.891,0.883,0.815,0.848,300.0,,2.0,1.0,sqrt,balanced,,,
all_possible_columns,random_forest,regularized,2,0.854,0.811,0.793,0.802,250.0,12.0,10.0,2.0,sqrt,balanced,,,
all_possible_columns,random_forest,wider,3,0.868,0.823,0.823,0.823,500.0,20.0,5.0,1.0,log2,balanced_subsample,,,
only_needed_columns,extra_trees,baseline,1,0.85,0.825,0.758,0.79,400.0,,2.0,1.0,sqrt,balanced,,,
only_needed_columns,extra_trees,regularized,2,0.777,0.686,0.736,0.71,300.0,12.0,10.0,2.0,sqrt,balanced,,,
only_needed_columns,extra_trees,wider,3,0.795,0.701,0.784,0.74,700.0,20.0,5.0,1.0,log2,balanced_subsample,,,
only_needed_columns,logistic_regression,baseline,1,0.372,0.372,1.0,0.542,,,,,,balanced,1.0,liblinear,2000.0
only_needed_columns,logistic_regression,strong_regularization,2,0.372,0.372,1.0,0.542,,,,,,balanced,0.1,liblinear,3000.0
only_needed_columns,logistic_regression,lighter_regularization,3,0.628,0.0,0.0,0.0,,,,,,,3.0,lbfgs,4000.0
only_needed_columns,random_forest,baseline,1,0.856,0.836,0.761,0.797,300.0,,2.0,1.0,sqrt,balanced,,,
only_needed_columns,random_forest,regularized,2,0.8,0.694,0.826,0.754,250.0,12.0,10.0,2.0,sqrt,balanced,,,
only_needed_columns,random_forest,wider,3,0.816,0.72,0.827,0.77,500.0,20.0,5.0,1.0,log2,balanced_subsample,,,
